Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
16,CA-2020-000006,12/19/2020,12/22/2020,Second Class,CG-31200,Eric Hoffmann,Corporate,United States,Shreveport,Louisiana,38134,South,OFF-SUP-36424,Office Supplies,Supplies,Belkin 6 Outlet Metallic Surge Strip,74.2,2,0.1,-10.13
17,CA-2020-000007,7/15/2020,7/17/2020,First Class,CG-49339,Ken Black,Corporate,United States,Virginia Beach,Virginia,28943,East,TEC-ACC-88473,Technology,Accessories,Verbatim 25 GB 6x Blu-Ray Single Discs,233.8,2,0.05,38.4
18,CA-2020-000008,3/11/2020,3/16/2020,Standard Class,CG-26982,Harold Pawlan,Consumer,United States,Greensboro,North Carolina,89660,South,FUR-FUR-98897,Furniture,Furnishings,Deflect-o Superior Image Shower Guard Locking Tabletop Display,208.58,4,0.1,20.92
19,CA-2020-000008,3/11/2020,3/16/2020,Standard Class,CG-26982,Harold Pawlan,Consumer,United States,Greensboro,North Carolina,72772,South,TEC-ACC-25182,Technology,Accessories,Plantronics CS50 Wireless Headset System,726.34,7,0.05,156.94
20,CA-2020-000008,3/11/2020,3/16/2020,Standard Class,CG-26982,Harold Pawlan,Consumer,United States,Greensboro,North Carolina,77292,South,OFF-PAP-51258,Office Supplies,Paper,Xerox 4200 Series Multi-Use Copy Paper,68.12,3,0.1,10.38
21,CA-2020-000009,11/25/2020,11/27/2020,First Class,CG-75603,Nora Preis,Home Office,United States,Norfolk,Virginia,24182,East,FUR-FUR-41610,Furniture,Furnishings,Eldon Expressions Desk Accessories Collection,370.68,4,0.2,-8.32
22,CA-2020-000009,11/25/2020,11/27/2020,First Class,CG-75603,Nora Preis,Home Office,United States,Norfolk,Virginia,50080,East,TEC-COP-10387,Technology,Copiers,Hewlett Packard LaserJet 1010,5621.42,3,0,1605.73
23,CA-2020-000010,12/27/2020,1/1/2021,Standard Class,CG-99968,Randall Shilling,Corporate,United States,Pittsburgh,Pennsylvania,18222,East,OFF-BIN-78514,Office Supplies,Binders,Wilson Jones Heavy Gauge Vinyl View Binder,116.38,4,0.05,-0.15
24,CA-2020-000010,12/27/2020,1/1/2021,Standard Class,CG-99968,Randall Shilling,Corporate,United States,Pittsburgh,Pennsylvania,87395,East,OFF-ENV-51088,Office Supplies,Envelopes,Staple envelope,114.35,4,0.15,12.59
25,CA-2020-000011,7/29/2020,8/3/2020,Standard Class,CG-48792,Sean O'Donnell,Corporate,United States,Aurora,Illinois,47854,Central,FUR-TAB-65506,Furniture,Tables,Bevis Steel Folding Table,3958.86,5,0.35,-2390.53
26,CA-2020-000011,7/29/2020,8/3/2020,Standard Class,CG-48792,Sean O'Donnell,Corporate,United States,Aurora,Illinois,47891,Central,TEC-MAC-64326,Technology,Machines,Xerox WorkCentre 6505DN,5276.35,3,0.05,245.84
27,CA-2020-000012,12/7/2020,12/8/2020,Same Day,CG-58998,Andrew Allen,Consumer,United States,Aurora,Illinois,46979,Central,TEC-MAC-77649,Technology,Machines,Ativa V4110MDD Shredder,7816.16,7,0.2,-1408.41
28,CA-2020-000012,12/7/2020,12/8/2020,Same Day,CG-58998,Andrew Allen,Consumer,United States,Aurora,Illinois,67619,Central,FUR-FUR-37560,Furniture,Furnishings,Eldon Expressions Desk Accessories Collection,725.68,7,0.15,44.55
29,CA-2020-000013,6/10/2020,6/14/2020,Second Class,CG-17695,Bill Donatelli,Home Office,United States,Virginia Beach,Virginia,24768,East,TEC-PHO-19981,Technology,Phones,Samsung Galaxy Tab 4 (10.1"),1919.57,5,0.15,109.52
30,CA-2020-000013,6/10/2020,6/14/2020,Second Class,CG-17695,Bill Donatelli,Home Office,United States,Virginia Beach,Virginia,36644,East,OFF-ENV-68625,Office Supplies,Envelopes,Poly String & Button Envelopes,66.65,3,0.05,15.9
31,CA-2020-000014,5/11/2020,5/15/2020,Second Class,CG-31865,Sean O'Donnell,Home Office,United States,New Haven,Connecticut,28817,East,OFF-PAP-80896,Office Supplies,Paper,Hammermill CopyPlus Copy Paper,89.69,2,0.2,3.37
32,CA-2020-000014,5/11/2020,5/15/2020,Second Class,CG-31865,Sean O'Donnell,Home Office,United States,New Haven,Connecticut,26530,East,OFF-ENV-21500,Office Supplies,Envelopes,Staple envelope,213.68,7,0,43.47
33,CA-2020-000015,4/14/2020,4/20/2020,Standard Class,CG-75467,Pete Kriz,Home Office,United States,Seattle,Washington,55997,West,OFF-LAB-56541,Office Supplies,Labels,Avery Self-Adhesive Removable Labels,68.03,3,0,17.44
34,CA-2020-000015,4/14/2020,4/20/2020,Standard Class,CG-75467,Pete Kriz,Home Office,United States,Seattle,Washington,26813,West,TEC-PHO-82397,Technology,Phones,Samsung Galaxy Tab 4 (10.1"),744.32,2,0.15,54.7
35,CA-2020-000015,4/14/2020,4/20/2020,Standard Class,CG-75467,Pete Kriz,Home Office,United States,Seattle,Washington,11904,West,TEC-MAC-37053,Technology,Machines,Brother Fax Machine 775,10007.97,6,0.05,-256.63
36,CA-2020-000016,2/21/2020,2/23/2020,First Class,CG-20889,Pete Kriz,Home Office,United States,Seattle,Washington,32389,West,TEC-MAC-69171,Technology,Machines,Brother Fax Machine 775,4363.45,5,0.1,13.1
37,CA-2020-000016,2/21/2020,2/23/2020,First Class,CG-20889,Pete Kriz,Home Office,United States,Seattle,Washington,79096,West,OFF-STO-12808,Office Supplies,Storage,3M Hangers with Command Adhesive,368.99,5,0.05,37.06
38,CA-2020-000017,2/18/2020,2/20/2020,First Class,CG-44157,Susan Vittorino,Home Office,United States,Charlotte,North Carolina,96791,South,TEC-MAC-26198,Technology,Machines,Brother Fax Machine 775,3155.19,2,0.15,-490.41
39,CA-2020-000017,2/18/2020,2/20/2020,First Class,CG-44157,Susan Vittorino,Home Office,United States,Charlotte,North Carolina,25764,South,TEC-ACC-38452,Technology,Accessories,Kensington Spin Drive Portable USB Drive,392.18,3,0,84.86
40,CA-2020-000017,2/18/2020,2/20/2020,First Class,CG-44157,Susan Vittorino,Home Office,United States,Charlotte,North Carolina,54485,South,OFF-STO-53851,Office Supplies,Storage,Storex Industrial Stacking Drawer/Organizer,278.67,3,0.15,6.21
41,CA-2020-000018,9/25/2020,9/27/2020,First Class,CG-49688,Tom Ashbrook,Consumer,United States,Detroit,Michigan,90028,Central,OFF-BIN-75189,Office Supplies,Binders,Wilson Jones Heavy Gauge Vinyl View Binder,132.48,4,0.2,-18.26
42,CA-2020-000018,9/25/2020,9/27/2020,First Class,CG-49688,Tom Ashbrook,Consumer,United States,Detroit,Michigan,97782,Central,FUR-BOO-10043,Furniture,Bookcases,Bush Westfield Collection Bookcases,1365.2,6,0.2,-334.82
43,CA-2020-000019,4/6/2020,4/10/2020,Second Class,CG-60472,Harold Pawlan,Corporate,United States,Kansas City,Missouri,40810,Central,TEC-MAC-93907,Technology,Machines,Hewlett-Packard LaserJet 3310 Copier,5671.41,6,0.05,-322.28
44,CA-2020-000019,4/6/2020,4/10/2020,Second Class,CG-60472,Harold Pawlan,Corporate,United States,Kansas City,Missouri,25793,Central,FUR-FUR-38246,Furniture,Furnishings,Deflect-o Superior Image Shower Guard Locking Tabletop Display,76.68,1,0.1,5.16
45,CA-2020-000020,12/2/2020,12/7/2020,Standard Class,CG-96806,Brosina Hoffman,Home Office,United States,Virginia Beach,Virginia,73954,East,TEC-MAC-21836,Technology,Machines,Ativa V4110MDD Shredder,5326.77,6,0.15,-144.28
46,CA-2020-000021,8/29/2020,9/4/2020,Standard Class,CG-70593,Maria Bertelson,Corporate,United States,Phoenix,Arizona,84416,West,FUR-BOO-43665,Furniture,Bookcases,Atlantic Metals Mobile Heavy-Gauge Shelving Cart,324.98,1,0.4,-182.14
47,CA-2020-000021,8/29/2020,9/4/2020,Standard Class,CG-70593,Maria Bertelson,Corporate,United States,Phoenix,Arizona,98708,West,OFF-FAS-68072,Office Supplies,Fasteners,Staples in Misc. Colors,32.91,2,0.15,6.69
48,CA-2020-000021,8/29/2020,9/4/2020,Standard Class,CG-70593,Maria Bertelson,Corporate,United States,Phoenix,Arizona,33406,West,OFF-SUP-43700,Office Supplies,Supplies,Belkin 6 Outlet Metallic Surge Strip,169.64,4,0.1,-28.08
49,CA-2020-000022,5/22/2020,5/24/2020,First Class,CG-79345,Ken Black,Home Office,United States,Colorado Springs,Colorado,26919,West,FUR-TAB-55768,Furniture,Tables,Bevis Steel Folding Table,2815.1,7,0.3,-1099.24
50,CA-2020-000022,5/22/2020,5/24/2020,First Class,CG-79345,Ken Black,Home Office,United States,Colorado Springs,Colorado,93243,West,FUR-TAB-19232,Furniture,Tables,Global Adaptabilities Collection Flip Top Table,954.46,2,0.4,-540.29
51,CA-2020-000023,10/9/2020,10/12/2020,Second Class,CG-69621,Andrew Allen,Corporate,United States,Colorado Springs,Colorado,24245,West,OFF-STO-28412,Office Supplies,Storage,Iris 3-Drawer Cabinet,91.41,2,0.1,1.41
52,CA-2020-000023,10/9/2020,10/12/2020,Second Class,CG-69621,Andrew Allen,Corporate,United States,Colorado Springs,Colorado,94867,West,TEC-PHO-53248,Technology,Phones,Cisco SPA 501G IP Phone,1054.8,2,0.15,46.45
53,CA-2020-000024,7/18/2020,7/21/2020,First Class,CG-89062,Art Miller,Home Office,United States,Dallas,Texas,95511,Central,TEC-MAC-24962,Technology,Machines,Ativa V4110MDD Shredder,5786.02,4,0.05,-209.74
54,CA-2020-000025,2/4/2020,2/9/2020,Standard Class,CG-95659,Irene Maddox,Consumer,United States,New Haven,Connecticut,32348,East,TEC-COP-37581,Technology,Copiers,Hewlett Packard LaserJet 1010,21543.22,6,0.15,2720.5
55,CA-2020-000025,2/4/2020,2/9/2020,Standard Class,CG-95659,Irene Maddox,Consumer,United States,New Haven,Connecticut,20235,East,TEC-MAC-78475,Technology,Machines,Brother Fax Machine 775,8236.99,6,0.15,-729.56
56,CA-2020-000026,3/23/2020,3/28/2020,Standard Class,CG-33615,Irene Maddox,Consumer,United States,Charlotte,North Carolina,72200,South,TEC-MAC-10129,Technology,Machines,Brother Fax Machine 775,4289.69,5,0.05,201.16
57,CA-2020-000026,3/23/2020,3/28/2020,Standard Class,CG-33615,Irene Maddox,Consumer,United States,Charlotte,North Carolina,46958,South,FUR-TAB-54401,Furniture,Tables,Bevis Steel Folding Table,915.71,1,0.45,-570.3
58,CA-2020-000027,12/19/2020,12/23/2020,Second Class,CG-26036,Phillina Ober,Home Office,United States,Newark,New Jersey,29415,East,FUR-CHA-36509,Furniture,Chairs,Safco PlanMaster High-Back Chair,428.25,1,0.15,-15.86
59,CA-2020-000027,12/19/2020,12/23/2020,Second Class,CG-26036,Phillina Ober,Home Office,United States,Newark,New Jersey,60575,East,TEC-PHO-92989,Technology,Phones,Samsung Galaxy Tab 4 (10.1"),510.53,2,0.1,46.52
60,CA-2020-000028,1/13/2020,1/14/2020,Same Day,CG-48686,Zuschuss Donatelli,Corporate,United States,Aurora,Colorado,67065,West,FUR-CHA-34838,Furniture,Chairs,Office Star Executive High Back Chair,3836.22,7,0.1,-115.11
61,CA-2020-000029,11/29/2020,12/2/2020,Second Class,CG-26452,Julia West,Corporate,United States,Shreveport,Louisiana,75115,South,FUR-CHA-72603,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs,2847.43,5,0.05,166.23
62,CA-2020-000029,11/29/2020,12/2/2020,Second Class,CG-26452,Julia West,Corporate,United States,Shreveport,Louisiana,51858,South,TEC-COP-55907,Technology,Copiers,Canon imageCLASS D320 Copier,13798.57,6,0.2,1415.01
63,CA-2020-000030,2/10/2020,2/14/2020,Second Class,CG-42411,Tom Ashbrook,Home Office,United States,Warren,Michigan,58278,Central,TEC-ACC-34046,Technology,Accessories,Plantronics CS50 Wireless Headset System,672.48,5,0.1,90.39
64,CA-2020-000030,2/10/2020,2/14/2020,Second Class,CG-42411,Tom Ashbrook,Home Office,United States,Warren,Michigan,60172,Central,FUR-CHA-18909,Furniture,Chairs,Harbour Creations 67200 Series Stacking Chair,423.57,1,0.1,-12.49
65,CA-2020-000031,3/20/2020,3/20/2020,Same Day,CG-79830,Tom Ashbrook,Home Office,United States,Detroit,Michigan,39550,Central,TEC-ACC-78190,Technology,Accessories,Verbatim 25 GB 6x Blu-Ray Single Discs,529.6,6,0.15,68.05
66,CA-2020-000032,2/5/2020,2/9/2020,Second Class,CG-44319,Sean O'Donnell,Home Office,United States,Portland,Oregon,62206,West,TEC-MAC-42611,Technology,Machines,Ativa V4110MDD Shredder,3276.28,2,0.2,-327.7
67,CA-2020-000032,2/5/2020,2/9/2020,Second Class,CG-44319,Sean O'Donnell,Home Office,United States,Portland,Oregon,41564,West,FUR-CHA-97901,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs,1046.75,2,0.2,-137.12
68,CA-2020-000033,11/4/2020,11/9/2020,Standard Class,CG-64316,Yana Sorensen,Corporate,United States,Paterson,New Jersey,50666,East,OFF-ART-90288,Office Supplies,Art,Dixon Oriole Highlighters,73.15,2,0.2,4.63
69,CA-2020-000034,7/13/2020,7/18/2020,Standard Class,CG-60683,Andrew Allen,Consumer,United States,Baton Rouge,Louisiana,21200,South,OFF-LAB-46013,Office Supplies,Labels,Avery Self-Adhesive Removable Labels,22.88,1,0,6.18
70,CA-2020-000034,7/13/2020,7/18/2020,Standard Class,CG-60683,Andrew Allen,Consumer,United States,Baton Rouge,Louisiana,90925,South,FUR-TAB-11020,Furniture,Tables,Chromcraft Bull-Nose Wood 48"x 24" Rectangular Table,1708.28,2,0.15,-345.98
71,CA-2020-000035,10/22/2020,10/25/2020,First Class,CG-34080,Susan Vittorino,Home Office,United States,Norfolk,Virginia,21959,East,OFF-PAP-21019,Office Supplies,Paper,Xerox 1967,362.29,7,0.05,78.45
72,CA-2020-000035,10/22/2020,10/25/2020,First Class,CG-34080,Susan Vittorino,Home Office,United States,Norfolk,Virginia,15407,East,FUR-CHA-50028,Furniture,Chairs,Global Leather Executive Chair,561.84,1,0.1,19.47
73,CA-2020-000035,10/22/2020,10/25/2020,First Class,CG-34080,Susan Vittorino,Home Office,United States,Norfolk,Virginia,66815,East,TEC-PHO-55353,Technology,Phones,Motorola 6200 Series VVX 600,350.21,1,0.1,21.76
74,CA-2020-000036,1/30/2020,2/4/2020,Standard Class,CG-77653,Gary Hwang,Consumer,United States,Cincinnati,Ohio,68840,Central,FUR-BOO-48745,Furniture,Bookcases,Sauder Cornerstone Collection Bookcase,361.84,1,0.3,-95.51
75,CA-2020-000036,1/30/2020,2/4/2020,Standard Class,CG-77653,Gary Hwang,Consumer,United States,Cincinnati,Ohio,66036,Central,OFF-ENV-93453,Office Supplies,Envelopes,Jiffy Kraft Padded Mailers,106.36,4,0.1,13.88
76,CA-2020-000037,10/5/2020,10/6/2020,Same Day,CG-37770,Julia West,Corporate,United States,Warren,Michigan,41487,Central,FUR-FUR-46061,Furniture,Furnishings,Seth Thomas 6" Globe Clock,308.41,3,0.05,29.3
77,CA-2020-000037,10/5/2020,10/6/2020,Same Day,CG-37770,Julia West,Corporate,United States,Warren,Michigan,24494,Central,TEC-PHO-33381,Technology,Phones,Motorola 6200 Series VVX 600,2731.02,6,0.2,-51.87
78,CA-2020-000037,10/5/2020,10/6/2020,Same Day,CG-37770,Julia West,Corporate,United States,Warren,Michigan,66078,Central,FUR-CHA-52355,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs,1527.02,6,0.1,-33.97
79,CA-2020-000038,6/20/2020,6/26/2020,Standard Class,CG-74471,Tom Ashbrook,Home Office,United States,Birmingham,Alabama,62642,South,TEC-COP-31169,Technology,Copiers,Xerox WorkCentre 3220 Multifunction Laser Printer,14347.62,6,0.15,1489.44
80,CA-2020-000039,4/24/2020,4/28/2020,Second Class,CG-55516,Sean O'Donnell,Home Office,United States,Allentown,Pennsylvania,59627,East,TEC-MAC-84593,Technology,Machines,Xerox WorkCentre 6505DN,4287.02,3,0.15,-657.29
81,CA-2020-000039,4/24/2020,4/28/2020,Second Class,CG-55516,Sean O'Donnell,Home Office,United States,Allentown,Pennsylvania,68534,East,TEC-MAC-16377,Technology,Machines,Brother Fax Machine 775,1471.43,2,0.05,39.39
82,CA-2020-000039,4/24/2020,4/28/2020,Second Class,CG-55516,Sean O'Donnell,Home Office,United States,Allentown,Pennsylvania,85561,East,TEC-PHO-68905,Technology,Phones,Apple iPhone SE (2nd Generation),422.29,1,0.1,28.88
83,CA-2020-000040,1/8/2020,1/12/2020,Second Class,CG-90923,Maria Bertelson,Consumer,United States,Cincinnati,Ohio,98317,Central,FUR-FUR-39856,Furniture,Furnishings,Seth Thomas 6" Globe Clock,66.98,1,0.15,1.22
84,CA-2020-000040,1/8/2020,1/12/2020,Second Class,CG-90923,Maria Bertelson,Consumer,United States,Cincinnati,Ohio,11524,Central,TEC-MAC-11861,Technology,Machines,Xerox WorkCentre 6505DN,2410.7,3,0.1,-234.16
85,CA-2020-000041,10/5/2020,10/11/2020,Standard Class,CG-10026,Gary Hwang,Consumer,United States,Mobile,Alabama,34055,South,FUR-FUR-50025,Furniture,Furnishings,Deflect-o Superior Image Shower Guard Locking Tabletop Display,295.13,3,0.1,28.75
86,CA-2020-000041,10/5/2020,10/11/2020,Standard Class,CG-10026,Gary Hwang,Consumer,United States,Mobile,Alabama,57767,South,TEC-PHO-38233,Technology,Phones,Apple iPhone SE (2nd Generation),2477.08,5,0.05,312.6
87,CA-2020-000042,3/11/2020,3/15/2020,Second Class,CG-84533,Harold Pawlan,Home Office,United States,Allentown,Pennsylvania,39717,East,FUR-CHA-90790,Furniture,Chairs,Safco PlanMaster High-Back Chair,1178.85,3,0.15,-84.93
88,CA-2020-000043,4/28/2020,5/1/2020,First Class,CG-89940,Zuschuss Donatelli,Corporate,United States,Rochester,Minnesota,63278,Central,FUR-FUR-16033,Furniture,Furnishings,Tensor "Midnight Black" Torchiere Floor Lamp,234.57,4,0,31.09
89,CA-2020-000044,1/4/2020,1/7/2020,First Class,CG-65467,Susan Vittorino,Consumer,United States,Bridgeport,Connecticut,40119,East,OFF-FAS-82525,Office Supplies,Fasteners,Staples in Misc. Colors,82.49,7,0.1,20.3
90,CA-2020-000045,7/1/2020,7/6/2020,Standard Class,CG-54432,Ken Black,Corporate,United States,Hartford,Connecticut,50041,East,OFF-LAB-74366,Office Supplies,Labels,Avery Laser Address Labels,63.79,4,0.2,9.11
91,CA-2020-000045,7/1/2020,7/6/2020,Standard Class,CG-54432,Ken Black,Corporate,United States,Hartford,Connecticut,39678,East,FUR-TAB-21772,Furniture,Tables,Chromcraft Bull-Nose Wood 48"x 24" Rectangular Table,2560.49,4,0.1,-483.27
92,CA-2020-000046,11/18/2020,11/19/2020,Same Day,CG-31296,Gary McGarr,Corporate,United States,Norfolk,Virginia,16146,East,OFF-STO-61529,Office Supplies,Storage,Storex Industrial Stacking Drawer/Organizer,175.19,4,0.05,18.49
93,CA-2020-000046,11/18/2020,11/19/2020,Same Day,CG-31296,Gary McGarr,Corporate,United States,Norfolk,Virginia,39864,East,TEC-COP-28891,Technology,Copiers,Hewlett Packard LaserJet 1010,7854.79,2,0,2363.46
94,CA-2020-000046,11/18/2020,11/19/2020,Same Day,CG-31296,Gary McGarr,Corporate,United States,Norfolk,Virginia,74862,East,TEC-MAC-77185,Technology,Machines,Brother Fax Machine 775,7153.63,5,0.15,-3.9
95,CA-2020-000047,12/17/2020,12/18/2020,Same Day,CG-97674,Tom Ashbrook,Consumer,United States,St. Paul,Minnesota,68051,Central,FUR-CHA-99776,Furniture,Chairs,Office Star Executive High Back Chair,1983.99,7,0.2,-193.02
96,CA-2020-000047,12/17/2020,12/18/2020,Same Day,CG-97674,Tom Ashbrook,Consumer,United States,St. Paul,Minnesota,52230,Central,OFF-LAB-95499,Office Supplies,Labels,Avery 491 Tab Dividers,26,1,0.1,5.36
97,CA-2020-000048,3/23/2020,3/29/2020,Standard Class,CG-67021,Claire Gute,Corporate,United States,St. Louis,Missouri,61646,Central,TEC-ACC-49711,Technology,Accessories,Targus Ultralife Rolling Laptop Case,917.1,7,0.2,24.69
98,CA-2020-000048,3/23/2020,3/29/2020,Standard Class,CG-67021,Claire Gute,Corporate,United States,St. Louis,Missouri,46073,Central,FUR-TAB-23535,Furniture,Tables,Global Adaptabilities Collection Flip Top Table,1721.21,3,0.1,-398.82
99,CA-2020-000049,7/21/2020,7/22/2020,Same Day,CG-46880,Art Miller,Consumer,United States,St. Louis,Missouri,24776,Central,OFF-FAS-87795,Office Supplies,Fasteners,Avery Binding System Hidden Tab Executive Style Index Systems,49.78,4,0,16.1
100,CA-2020-000050,8/13/2020,8/14/2020,Same Day,CG-96335,Rick Bensley,Consumer,United States,Denver,Colorado,40094,West,FUR-CHA-99061,Furniture,Chairs,Global Leather Executive Chair,427.77,1,0.1,3.14
101,CA-2020-000051,6/21/2020,6/23/2020,First Class,CG-28310,Sylvia Foulston,Corporate,United States,New Orleans,Louisiana,75958,South,OFF-LAB-68368,Office Supplies,Labels,Avery Laser Address Labels,122.85,6,0,32.12
102,CA-2020-000051,6/21/2020,6/23/2020,First Class,CG-28310,Sylvia Foulston,Corporate,United States,New Orleans,Louisiana,32371,South,OFF-FAS-54232,Office Supplies,Fasteners,Avery Binding System Hidden Tab Executive Style Index Systems,115.55,7,0,33.98
103,CA-2020-000051,6/21/2020,6/23/2020,First Class,CG-28310,Sylvia Foulston,Corporate,United States,New Orleans,Louisiana,44758,South,FUR-CHA-40786,Furniture,Chairs,Global Leather Executive Chair,2548.15,7,0,178.49
104,CA-2020-000052,6/24/2020,6/26/2020,First Class,CG-26643,Keith Dawkins,Consumer,United States,Tampa,Florida,14498,South,TEC-ACC-76938,Technology,Accessories,Kensington Spin Drive Portable USB Drive,110.14,1,0.05,21.76
105,CA-2020-000053,2/27/2020,2/28/2020,Same Day,CG-64919,Eric Hoffmann,Corporate,United States,Knoxville,Tennessee,95016,South,FUR-TAB-55732,Furniture,Tables,Bevis Steel Folding Table,3611.01,4,0.25,-1072.69
106,CA-2020-000053,2/27/2020,2/28/2020,Same Day,CG-64919,Eric Hoffmann,Corporate,United States,Knoxville,Tennessee,56582,South,FUR-TAB-47118,Furniture,Tables,Global Adaptabilities Collection Flip Top Table,2574.3,5,0.3,-1158.18
107,CA-2020-000054,11/24/2020,11/24/2020,Same Day,CG-55587,Karen Ferguson,Consumer,United States,Rochester,Minnesota,63141,Central,TEC-PHO-65020,Technology,Phones,Apple iPhone SE (2nd Generation),3630.33,7,0.1,423.1
108,CA-2020-000055,6/18/2020,6/24/2020,Standard Class,CG-13400,Jim Mitchum,Home Office,United States,Memphis,Tennessee,66290,South,FUR-FUR-70435,Furniture,Furnishings,Deflect-o Superior Image Shower Guard Locking Tabletop Display,447.41,5,0.2,-1.17
109,CA-2020-000055,6/18/2020,6/24/2020,Standard Class,CG-13400,Jim Mitchum,Home Office,United States,Memphis,Tennessee,65841,South,OFF-STO-22115,Office Supplies,Storage,Tennsco Steel Storage Cabinet,150.71,2,0.05,3.78
110,CA-2020-000055,6/18/2020,6/24/2020,Standard Class,CG-13400,Jim Mitchum,Home Office,United States,Memphis,Tennessee,52327,South,FUR-TAB-16148,Furniture,Tables,Harmonics Envision Training Table,3692.78,7,0.4,-2149.22
111,CA-2020-000056,3/21/2020,3/26/2020,Standard Class,CG-48812,Ken Black,Home Office,United States,Paterson,New Jersey,37521,East,FUR-TAB-77537,Furniture,Tables,Bevis Steel Folding Table,1674.81,2,0.15,-462.55
112,CA-2020-000056,3/21/2020,3/26/2020,Standard Class,CG-48812,Ken Black,Home Office,United States,Paterson,New Jersey,95319,East,TEC-ACC-55726,Technology,Accessories,Verbatim 25 GB 6x Blu-Ray Single Discs,750.18,7,0.05,140.6
